Site Name,Sample Date ,"3,5-DCA",Azoxystrobin ,Bifenthrin ,Napropamide ,Permethrin ,Pyraclostrobin ,Tebuconazole 
Reading Peak,6/10/2009,nd,nd,nd,nd,nd,nd,nd
Reading Peak,7/15/2010,nd,nd,nd,nd,nd,nd,426
Page Meadow,5/6/2009,nd,nd,nd,nd,4.7,50.7,nd
Page Meadow,6/24/2010,nd,nd,8.3,27.6,nd,4.8,63.1
Spicer Sno-Park,5/5/2009,nd,4,7.4,nd,nd,nd,nd
Spicer Sno-Park,6/8/2010,nd,4.1,nd,nd,nd,nd,nd
Ebbetts Pass,6/9/2009,nd,nd,nd,nd,2.8,35.5,238
Ebbetts Pass,7/7/2010,nd,nd,nd,nd,nd,nd,nd
Summit Meadow,6/23/2010,nd,2.5,nd,nd,nd,nd,55.8
Tioga Pass,7/8/2010,nd,nd,nd,nd,nd,nd,245
Rabbit Meadow,5/4/2009,nd,nd,nd,nd,nd,70.6,nd
Rabbit Meadow,6/22/2010,14.2,nd,11.1,nd,nd,12.2,1380
