Biota ID,Bifenthrin ,Fipronil ,ppddt
SCH A,nd,0.3,4.4
SCH B,nd,nd,nd
SCH C,nd,0.3,10.2
SCH D,nd,0.2,nd
SCH E,nd,nd,nd
GRE A,0.8,nd,4.1
GRE B,0.5,nd,13.4
GRE C,nd,nd,10.7
GRE D,nd,nd,5.4
GRE E,nd,nd,1.2
MAR A,nd,nd,nd
MAR B,nd,nd,nd
MAR C,nd,nd,nd
MAR D,nd,nd,nd
MAR E,nd,nd,4.3
BJB A,10,nd,5.9
BJB B,nd,0.2,nd
BJB C,nd,0.4,11.5
BJB D,nd,0.7,41.9
BJB E,nd,nd,14.1
BOP A,0.1,nd,nd
BOP B,nd,nd,5.4
BOP C,0.2,nd,nd
BOP D,0.2,nd,nd
BOP E,0.6,nd,nd
MCH A,1.3,nd,nd
MCH B,nd,nd,3.5
MCH C,0.4,0.2,1.5
MCH D,nd,nd,nd
MCH E,0.3,nd,3.3
